gxa_property_name	occurrences_in_contrasts	contrast_property_types	example_values	example_urls	example_accessions	current_handling_or_gap	candidate_inference_field
line	9	SAMPLE:9	48 vs 48; 59, 48, 57 vs 59, 48, 57; 59, 48, 57	https://www.ebi.ac.uk/gxa/experiments/E-MEXP-2435/Results; https://www.ebi.ac.uk/gxa/experiments/E-MEXP-2435/Results; https://www.ebi.ac.uk/gxa/experiments/E-MEXP-2435/Results	E-MEXP-2435; E-MEXP-2435; E-MEXP-2435	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
banff’97 score	8	SAMPLE:8	Banff'97: CAN I vs Banff'97: non-rejecting; Banff'97: CAN II vs Banff'97: non-rejecting; Banff'97: CAN III vs Banff'97: non-rejecting	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results	E-GEOD-9493; E-GEOD-9493; E-GEOD-9493	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
date of birth	8	SAMPLE:8	26/06/1936, 08/04/1952, 03/02/1942 vs 26/06/1936, 08/04/1952, 03/02/1942; 1.13.16, 1.10.16, 1.11.16, 1.12.16 vs 1.11.16, 1.12.16; 1.10.16, 1.13.16, 1.12.16, 1.11.16 vs 1.13.16, 1.10.16, 1.11.16, 1.12.16	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-12606/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-7398/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-7398/Results	E-GEOD-12606; E-MTAB-7398; E-MTAB-7398	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
gestational age	8	FACTOR:4; SAMPLE:4	22 week, 14 week, 18 week, 21 week, 23 week, 24 week, 19 week, 16 week vs 38 week, 39 week, 37 week, 40 week; 22 week, 18 week, 14 week, 21 week, 23 week, 19 week, 24 week, 16 week vs 38 week, 39 week, 37 week, 40 week; 19 week, 18 week vs 19 week, 18 week	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-5999/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-5999/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-66217/Results	E-GEOD-5999; E-GEOD-5999; E-GEOD-66217	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
physical activity	8	FACTOR:8	sedentary vs sedentary; training vs training; active vs active	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1786/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1786/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-31839/Results	E-GEOD-1786; E-GEOD-1786; E-GEOD-31839	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
pregnancy	8	FACTOR:8	pregnant vs not pregnant; non-full term pregnancy vs never pregnant; full term pregnancy vs never pregnant	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-20974/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-26457/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-26457/Results	E-GEOD-20974; E-GEOD-26457; E-GEOD-26457	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
renal graft biopsy	8	SAMPLE:8	Renal graft bx: 1.60, Renal graft bx: 3-AO, Renal graft bx: 1.50, Renal graft bx: 1-ME, Renal graft bx: 1.02, Renal graft bx: 1.59, Renal graft bx: 4-MS vs Z18, Z17, Z06, Renal graft bx: 1.09, Renal graft bx: 1.49, Renal graft bx: 1.13, Renal graft bx: 1.34, Renal graft bx: 1.45, Renal graft bx: 1.26, Renal graft bx: 1.33, Renal graft bx: Z02, Z10, Z21, Z20, Z01, Z11, Z14, Z13, Z16, Renal graft bx: 70-PJ, Z15; Renal graft bx: 1.64, Renal graft bx: 1.53, Renal graft bx: 1.52, Renal graft bx: 1.54, Renal graft bx: 1.40, Renal graft bx: 1.38, Renal graft bx: 1.16, Renal graft bx: 1.29, Renal graft bx: 1.57, Renal graft bx: 1.56 vs Z18, Z17, Z06, Renal graft bx: 1.09, Renal graft bx: 1.49, Renal graft bx: 1.13, Renal graft bx: 1.34, Renal graft bx: 1.45, Renal graft bx: 1.26, Renal graft bx: 1.33, Renal graft bx: Z02, Z10, Z21, Z20, Z01, Z11, Z14, Z13, Z16, Renal graft bx: 70-PJ, Z15; Renal graft bx: 1.42, Renal graft bx: 1.30, Renal graft bx: 1.32, Renal graft bx: 1.39, Renal graft bx: 1.08, Renal graft bx: 1.46, Renal graft bx: 1.04, Renal graft bx: 1.36 vs Z18, Z17, Z06, Renal graft bx: 1.09, Renal graft bx: 1.49, Renal graft bx: 1.13, Renal graft bx: 1.34, Renal graft bx: 1.45, Renal graft bx: 1.26, Renal graft bx: 1.33, Renal graft bx: Z02, Z10, Z21, Z20, Z01, Z11, Z14, Z13, Z16, Renal graft bx: 70-PJ, Z15	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results	E-GEOD-9493; E-GEOD-9493; E-GEOD-9493	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
sample group	8	FACTOR:8	incompatible interaction vs control; compatible interaction vs control; compatible interaction vs control	https://www.ebi.ac.uk/gxa/experiments/E-CURD-147/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-147/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-148/Results	E-CURD-147; E-CURD-147; E-CURD-148	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
serum creatinine	8	SAMPLE:8	Serum creatinine: 121 micromolar per liter, Serum creatinine: 131 micromolar per liter, Serum creatinine: 177 micromolar per liter, Serum creatinine: 231 micromolar per liter, Serum creatinine: 267 micromolar per liter, Serum creatinine: 110 micromolar per liter, Serum creatinine: 120 micromolar per liter vs Serum creatinine: 128 micromolar per liter, Serum creatinine: 108 micromolar per liter, Serum creatinine: 167 micromolar per liter, Serum creatinine: 104 micromolar per liter, Serum creatinine: 199 micromolar per liter, Serum creatinine: 219 micromolar per liter, Serum creatinine: 117 micromolar per liter, Serum creatinine: 130 micromolar per liter, Serum creatinine: 118 micromolar per liter, Serum creatinine: 106 micromolar per liter, Serum creatinine: 158 micromolar per liter, Serum creatinine: 192 micromolar per liter, Serum creatinine: 95 micromolar per liter, Serum creatinine: 107 micromolar per liter, not available, Serum creatinine: 94 micromolar per liter, Serum creatinine: 115 micromolar per liter, Serum creatinine: 114 micromolar per liter, Serum creatinine: 152 micromolar per liter, Serum creatinine: 159 micromolar per liter; Serum creatinine: 175 micromolar per liter, Serum creatinine: 240 micromolar per liter, Serum creatinine: 332 micromolar per liter, Serum creatinine: 167 micromolar per liter, Serum creatinine: 200 micromolar per liter, Serum creatinine: 182 micromolar per liter, Serum creatinine: 186 micromolar per liter, Serum creatinine: 298 micromolar per liter, Serum creatinine: 161 micromolar per liter vs Serum creatinine: 128 micromolar per liter, Serum creatinine: 108 micromolar per liter, Serum creatinine: 167 micromolar per liter, Serum creatinine: 104 micromolar per liter, Serum creatinine: 199 micromolar per liter, Serum creatinine: 219 micromolar per liter, Serum creatinine: 117 micromolar per liter, Serum creatinine: 130 micromolar per liter, Serum creatinine: 118 micromolar per liter, Serum creatinine: 106 micromolar per liter, Serum creatinine: 158 micromolar per liter, Serum creatinine: 192 micromolar per liter, Serum creatinine: 95 micromolar per liter, Serum creatinine: 107 micromolar per liter, not available, Serum creatinine: 94 micromolar per liter, Serum creatinine: 115 micromolar per liter, Serum creatinine: 114 micromolar per liter, Serum creatinine: 152 micromolar per liter, Serum creatinine: 159 micromolar per liter; Serum creatinine: 250 micromolar per liter, Serum creatinine: 210 micromolar per liter, Serum creatinine: 572 micromolar per liter, not available, Serum creatinine: 495 micromolar per liter, Serum creatinine: 201 micromolar per liter, Serum creatinine: 1000 micromolar per liter, Serum creatinine: 427 micromolar per liter vs Serum creatinine: 128 micromolar per liter, Serum creatinine: 108 micromolar per liter, Serum creatinine: 167 micromolar per liter, Serum creatinine: 104 micromolar per liter, Serum creatinine: 199 micromolar per liter, Serum creatinine: 219 micromolar per liter, Serum creatinine: 117 micromolar per liter, Serum creatinine: 130 micromolar per liter, Serum creatinine: 118 micromolar per liter, Serum creatinine: 106 micromolar per liter, Serum creatinine: 158 micromolar per liter, Serum creatinine: 192 micromolar per liter, Serum creatinine: 95 micromolar per liter, Serum creatinine: 107 micromolar per liter, not available, Serum creatinine: 94 micromolar per liter, Serum creatinine: 115 micromolar per liter, Serum creatinine: 114 micromolar per liter, Serum creatinine: 152 micromolar per liter, Serum creatinine: 159 micromolar per liter	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-9493/Results	E-GEOD-9493; E-GEOD-9493; E-GEOD-9493	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
weight	8	SAMPLE:8	30.6 gram, 33.2 gram, 30 gram, 31 gram, 31.4 gram, 30.4 gram, 30.5 gram, 29 gram vs 29.8 gram, 28.7 gram, 32.3 gram, 31 gram, 27.8 gram, 27 gram, 29.2 gram, 28.6 gram; 30.6 gram, 33.2 gram, 30 gram, 31 gram, 31.4 gram, 30.4 gram, 30.5 gram, 29 gram vs 29.8 gram, 28.7 gram, 32.3 gram, 31 gram, 27 gram, 27.8 gram, 29.2 gram, 28.6 gram; 27.4 gram, 28.1 gram, 33.8 gram, 30 gram, 35.2 gram, 30.4 gram, 30.5 gram vs 30.6 gram, 33.2 gram, 30 gram, 31 gram, 31.4 gram, 30.4 gram, 30.5 gram, 29 gram	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-7398/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-7398/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-7398/Results	E-MTAB-7398; E-MTAB-7398; E-MTAB-7398	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
ancestry category	7	FACTOR:4; SAMPLE:3	European, African, Black vs not available, European, Asian, African; European, not available, African vs not available, European, Asian, African; Indian, Filipino, European, Asian, Native American, African vs European, Other/multiracial, Asian	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-28/Results; https://www.ebi.ac.uk/gxa/experiments/E-ENAD-28/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-37171/Results	E-ENAD-28; E-ENAD-28; E-GEOD-37171	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
cellular component	7	FACTOR:4; SAMPLE:3	exosome vs exosome; whole cell vs whole cell; whole cell vs whole cell	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-56825/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-56825/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-3198/Results	E-GEOD-56825; E-GEOD-56825; E-MTAB-3198	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
ethnicity	7	SAMPLE:7	European vs European	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-2232/Results	E-MTAB-2232	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
tissue	6	SAMPLE:6	leaf vs leaf	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-4/Results	E-ENAD-4	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
alcohol consumption	5	SAMPLE:5	0 grams per week, 5 gram per week, 10 gram per week vs 0 grams per week, 220 gram per week, 60 gram per week, 150 gram per week, 180 gram per week, 140 gram per week; 0 grams per week vs 0 grams per week, 323 gram per week, 252 gram per week, 50 gram per week; 0 grams per week, 16 gram per week, 5 gram per week, 10 gram per week vs 40 gram per week, 0 grams per week, 90 gram per week	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863; E-MTAB-6863	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
alcohol consumption measurement	5	SAMPLE:5	0, 1 vs 0, 1, 2; 0 vs 0, 1, 2; 0, 1 vs 0, 1	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863; E-MTAB-6863	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
batch	5	SAMPLE:5	T8, T14_3, T6 vs T8, T14_3, T6; T11, T10, T2 vs T11, T2, T10; T11, T2, T10 vs T11, T2, T10	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9852/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9853/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9853/Results	E-MTAB-9852; E-MTAB-9853; E-MTAB-9853	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
biotic plant treatment	5	SAMPLE:4; FACTOR:1	brown planthopper vs brown planthopper; Ostrinia nubilalis infested vs control	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-29967/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-46475/Results	E-GEOD-29967; E-GEOD-46475	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
bmi code	5	SAMPLE:5	0, 1 vs 0, 1; 1 vs 1	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
cigarette packs per year	5	SAMPLE:5	0 cigarette packs per year, 12.75 cigarette packs per year, 20 cigarette packs per year, 40 cigarette packs per year vs 0 cigarette packs per year, 2 cigarette packs per year, not available, 15 cigarette packs per year, 5 cigarette packs per year, 10 cigarette packs per year, 12.5 cigarette packs per year; not available, 10 cigarette packs per year, 9 cigarette packs per year vs not available, 0 cigarette packs per year, 1.5 cigarette packs per year; not available, 0 cigarette packs per year, 28 cigarette packs per year, 40 cigarette packs per year, 20 cigarette packs per year vs not available, 39 cigarette packs per year, 10 cigarette packs per year, 21 cigarette packs per year, 44 cigarette packs per year	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863; E-MTAB-6863	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
diabetes	5	SAMPLE:5	non-diabetic, type II diabetes mellitus vs not available, non-diabetic; non-diabetic, not available vs not available, non-diabetic; non-diabetic, not available vs not available, non-diabetic, type II diabetes mellitus	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863; E-MTAB-6863	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
elf score	5	SAMPLE:5	enhanced liver fibrosis score 10.66, enhanced liver fibrosis score 8.66, enhanced liver fibrosis score 8.72, enhanced liver fibrosis score 11.28, enhanced liver fibrosis score 12.64, enhanced liver fibrosis score 10.46 vs enhanced liver fibrosis score 9.17, enhanced liver fibrosis score 8.14, enhanced liver fibrosis score 8.59, enhanced liver fibrosis score 9.15, enhanced liver fibrosis score 9.69, not available, enhanced liver fibrosis score 8.54, enhanced liver fibrosis score 9, enhanced liver fibrosis score 8.82; not available, enhanced liver fibrosis score 10.57, enhanced liver fibrosis score 9.46 vs not available, enhanced liver fibrosis score 8.34, enhanced liver fibrosis score 8.06; enhanced liver fibrosis score 10.45, enhanced liver fibrosis score 10.75, enhanced liver fibrosis score 12.64, enhanced liver fibrosis score 9.89, not available, enhanced liver fibrosis score 9.55, enhanced liver fibrosis score 11.69 vs not available, enhanced liver fibrosis score 8.18, enhanced liver fibrosis score 10.26, enhanced liver fibrosis score 8.81, enhanced liver fibrosis score 8.68	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863; E-MTAB-6863	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
extraction_date	5	SAMPLE:5	18.02.2019, 11.02.2019 vs 18.02.2019, 11.02.2019; 09.12.2019 vs 09.12.2019	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9852/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9853/Results	E-MTAB-9852; E-MTAB-9853	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
family relationship	5	SAMPLE:3; FACTOR:2	twin number 2, twin number 1 vs twin number 2, twin number 1; monozygotic twin pair 10, monozygotic twin pair 1, monozygotic twin pair 12, monozygotic twin pair 11, monozygotic twin pair 13, monozygotic twin pair 9, monozygotic twin pair 8, monozygotic twin pair 7, monozygotic twin pair 6, monozygotic twin pair 5, monozygotic twin pair 4, monozygotic twin pair 3, monozygotic twin pair 2 vs monozygotic twin pair 1, monozygotic twin pair 10, monozygotic twin pair 12, monozygotic twin pair 11, monozygotic twin pair 13, monozygotic twin pair 9, monozygotic twin pair 8, monozygotic twin pair 7, monozygotic twin pair 6, monozygotic twin pair 5, monozygotic twin pair 4, monozygotic twin pair 3, monozygotic twin pair 2; proband vs first degree relative	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19519/Results; https://www.ebi.ac.uk/gxa/experiments/E-MEXP-1425/Results; https://www.ebi.ac.uk/gxa/experiments/E-MEXP-2559/Results	E-GEOD-19519; E-MEXP-1425; E-MEXP-2559	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
fibrosis stage	5	SAMPLE:5	METAVIR fibrosis score 3, METAVIR fibrosis score 4 vs METAVIR fibrosis score 0, METAVIR fibrosis score 1, METAVIR fibrosis score 2; METAVIR fibrosis score 3, METAVIR fibrosis score 4 vs METAVIR fibrosis score 0, METAVIR fibrosis score 1; METAVIR fibrosis score 3, METAVIR fibrosis score 4 vs METAVIR fibrosis score 1, METAVIR fibrosis score 2	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863; E-MTAB-6863	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
paired samples pre/post vitamin d supplementation	5	SAMPLE:5	yes vs no; no, yes vs no; no, yes vs yes	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results	E-MTAB-9789; E-MTAB-9789; E-MTAB-9789	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
rin	5	SAMPLE:5	9,4, 10 vs 9,7, 10; 9,7, 9,8, 10 vs 9,7, 10; 9,3, 9,8, 9,6 vs 9,7, 10	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9852/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9852/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9852/Results	E-MTAB-9852; E-MTAB-9852; E-MTAB-9852	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
sequencing depth	5	SAMPLE:5	64.67, 64.56, 64.43 vs 22.26, 22.19; 64.48, 64.72, 64.47 vs 22.17, 22.19, 22.2; 64.67, 64.56, 64.43 vs 64.48, 64.72, 64.47	https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results	E-CURD-37; E-CURD-37; E-CURD-37	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
serum 25(oh)d after supplementation (nmol/l)	5	SAMPLE:5	, 152, 142, 131, 121, 155, 122, 133, 100, 166, 178, 147, 114, 115, 106, 128, 98; , 152, 131, 142, 121, 155, 166, 133, 100, 122, 178, 147, 114, 115, 128, 106, 98; , 152, 131, 142, 121, 155, 166, 133, 100, 122, 178, 147, 114, 115, 128, 106, 98 vs , 152, 142, 131, 121, 155, 122, 133, 100, 166, 178, 147, 114, 115, 106, 128, 98	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results	E-MTAB-9789; E-MTAB-9789; E-MTAB-9789	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
serum 25(oh)d before supplementation (nmol/l)	5	SAMPLE:5	, 22, 44, 23, 68, 46, 24, 49, 27, 133, 116, 71, 50, 51, 52, 53, 98, 32, 76, 55, 99, 36, 37, 59, 105, 40, 42, 65 vs 88, 78, 35, 49, 29; 44, , 22, 23, 46, 24, 68, 49, 27, 133, 116, 71, 50, 51, 52, 53, 32, 98, 76, 55, 99, 57, 36, 37, 59, 125, 105, 40, 85, 42, 65 vs , 88, 78, 35, 59, 49, 29; 44, , 22, 23, 46, 24, 68, 49, 27, 133, 116, 71, 50, 51, 52, 53, 32, 98, 76, 55, 99, 57, 36, 37, 59, 125, 105, 40, 85, 42, 65 vs , 22, 44, 23, 68, 46, 24, 49, 27, 133, 116, 71, 50, 51, 52, 53, 98, 32, 76, 55, 99, 36, 37, 59, 105, 40, 42, 65	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9789/Results	E-MTAB-9789; E-MTAB-9789; E-MTAB-9789	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
smoker	5	SAMPLE:5	current smoker, non smoker, ex-smoker vs not available, non smoker, ex-smoker, current smoker; not available, current smoker, ex-smoker vs not available, current smoker, non smoker; not available, non smoker, ex-smoker, current smoker vs not available, current smoker, ex-smoker	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-6863/Results	E-MTAB-6863; E-MTAB-6863; E-MTAB-6863	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
strain or line	5	SAMPLE:5	no explicit value in contrast JSON; no explicit value in contrast JSON; no explicit value in contrast JSON	https://www.ebi.ac.uk/gxa/experiments/E-MEXP-2089/Results; https://www.ebi.ac.uk/gxa/experiments/E-MEXP-27/Results; https://www.ebi.ac.uk/gxa/experiments/E-MEXP-27/Results	E-MEXP-2089; E-MEXP-27; E-MEXP-27	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
development stage	4	SAMPLE:4	15 days post anthesis vs 15 days post anthesis; stage R5, beginning seed vs stage R5, beginning seed	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-4819/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5076/Results	E-MTAB-4819; E-MTAB-5076	Variant label normalized to developmental stage for crawler matching.	sample.developmentalStage.name
duration of experiment	4	SAMPLE:4	0.5 week vs 0.5 week; 12 week vs 12 week	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9864/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9864/Results	E-MTAB-9864; E-MTAB-9864	FACTOR values are preserved in variableMeasured/measurementDenominator context; SAMPLE values are structured as sample.additionalProperty. observationPeriod remains a possible future refinement.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty; observationPeriod.name
group	4	SAMPLE:4	KI_0h vs WT_0h; KI_12h vs WT_12h; KI_24h vs WT_24h	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-10104/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-10104/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-10104/Results	E-MTAB-10104; E-MTAB-10104; E-MTAB-10104	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
material type	4	FACTOR:3; SAMPLE:1	thick deformable vs thick deformable; individual plant vs individual plant	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-23764/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-43560/Results	E-GEOD-23764; E-GEOD-43560	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
